"zip","name","empflag","emp_nf","emp","qp1_nf","qp1","ap_nf","ap","est","city","stabbr","cty_name"
"01054","LEVERETT, MA",,"G",140,"G",1020,"G",4412,34,"LEVERETT","MA","FRANKLIN"
"01056","LUDLOW, MA",,"G",4187,"G",36455,"G",175922,416,"LUDLOW","MA","HAMPDEN"
"01057","MONSON, MA",,"G",748,"G",5990,"G",27042,144,"MONSON","MA","HAMPDEN"
"01059","NORTH AMHERST, MA",,"H",123,"H",1018,"H",4122,14,"NORTH AMHERST","MA","HAMPSHIRE"
"01060","NORTHAMPTON, MA",,"G",11607,"G",107587,"G",440091,785,"NORTHAMPTON","MA","HAMPSHIRE"
"01061","NORTHAMPTON, MA",,"H",130,"G",971,"G",4032,17,"NORTHAMPTON","MA","HAMPSHIRE"
"01062","FLORENCE, MA",,"G",1658,"G",14661,"G",57572,186,"FLORENCE","MA","HAMPSHIRE"
"01063","NORTHAMPTON, MA","H","D",0,"D",0,"D",0,2,"NORTHAMPTON","MA","HAMPSHIRE"
"01066","NORTH HATFIELD, MA","B","D",0,"D",0,"D",0,8,"NORTH HATFIELD","MA","HAMPSHIRE"
"01068","OAKHAM, MA","B","S",0,"G",513,"G",2751,26,"OAKHAM","MA","WORCESTER"
"01069","PALMER, MA",,"G",2754,"G",24974,"G",113875,266,"PALMER","MA","HAMPDEN"
"01070","PLAINFIELD, MA",,"H",28,"G",139,"H",583,8,"PLAINFIELD","MA","HAMPSHIRE"
"01071","RUSSELL, MA",,"H",139,"G",967,"G",4461,21,"RUSSELL","MA","HAMPDEN"
"01072","SHUTESBURY, MA",,"G",53,"G",199,"G",1112,16,"SHUTESBURY","MA","FRANKLIN"
"01073","SOUTHAMPTON, MA",,"G",1046,"H",6939,"H",29524,111,"SOUTHAMPTON","MA","HAMPSHIRE"
"01074","SOUTH BARRE, MA",,"G",81,"G",502,"G",2398,9,"SOUTH BARRE","MA","WORCESTER"
"01075","SOUTH HADLEY, MA",,"G",4765,"G",35307,"G",142614,289,"SOUTH HADLEY","MA","HAMPSHIRE"
"01077","SOUTHWICK, MA",,"G",2089,"G",17053,"G",74789,222,"SOUTHWICK","MA","HAMPDEN"
"01079","THORNDIKE, MA",,"G",60,"H",603,"G",1995,12,"THORNDIKE","MA","HAMPDEN"
"01080","THREE RIVERS, MA",,"G",315,"G",2224,"G",9677,43,"THREE RIVERS","MA","HAMPDEN"
"01081","WALES, MA",,"G",36,"G",270,"G",1195,12,"WALES","MA","HAMPDEN"
"01082","WARE, MA",,"H",2359,"H",21080,"H",82758,176,"WARE","MA","HAMPSHIRE"
"01083","WARREN, MA",,"G",944,"G",25303,"G",101889,40,"WARREN","MA","WORCESTER"
"01084","WEST CHESTERFIELD, MA",,"G",24,"G",208,"H",880,3,"WEST CHESTERFIELD","MA","HAMPSHIRE"
"01085","WESTFIELD, MA",,"H",13405,"H",135687,"G",549101,857,"WESTFIELD","MA","HAMPDEN"
"01086","WESTFIELD, MA","F","S",0,"H",5914,"H",24466,16,"WESTFIELD","MA","HAMPDEN"
"01088","WEST HATFIELD, MA",,"G",288,"G",2551,"G",10480,28,"WEST HATFIELD","MA","HAMPSHIRE"
"01089","WEST SPRINGFIELD, MA",,"G",15955,"G",138821,"G",566355,952,"WEST SPRINGFIELD","MA","HAMPDEN"
"01090","WEST SPRINGFIELD, MA",,"G",104,"G",919,"G",4657,18,"WEST SPRINGFIELD","MA","HAMPDEN"
"01092","WEST WARREN, MA",,"G",74,"H",456,"H",2139,24,"WEST WARREN","MA","WORCESTER"
"01093","WHATELY, MA",,"G",576,"G",6489,"G",25027,30,"WHATELY","MA","FRANKLIN"
"01094","WHEELWRIGHT, MA","A","D",0,"D",0,"D",0,2,"WHEELWRIGHT","MA","WORCESTER"
"01095","WILBRAHAM, MA",,"G",3623,"H",30181,"H",124262,299,"WILBRAHAM","MA","HAMPDEN"
"01096","WILLIAMSBURG, MA",,"G",351,"G",2416,"G",10724,49,"WILLIAMSBURG","MA","HAMPSHIRE"
"01098","WORTHINGTON, MA",,"G",168,"H",1912,"H",7177,25,"WORTHINGTON","MA","HAMPSHIRE"
"01101","SPRINGFIELD, MA",,"G",870,"G",7323,"G",28834,26,"SPRINGFIELD","MA","HAMPDEN"
"01102","SPRINGFIELD, MA","H","S",0,"H",41433,"H",173340,18,"SPRINGFIELD","MA","HAMPDEN"
"01103","SPRINGFIELD, MA",,"G",6963,"G",65719,"G",270511,507,"SPRINGFIELD","MA","HAMPDEN"
"01104","SPRINGFIELD, MA",,"G",14324,"G",168413,"G",729864,535,"SPRINGFIELD","MA","HAMPDEN"
"01105","SPRINGFIELD, MA",,"G",4568,"G",41626,"G",171818,260,"SPRINGFIELD","MA","HAMPDEN"
"01106","LONGMEADOW, MA",,"H",3387,"H",24187,"G",113831,279,"LONGMEADOW","MA","HAMPDEN"
"01107","SPRINGFIELD, MA",,"G",2232,"G",30752,"G",144188,154,"SPRINGFIELD","MA","HAMPDEN"
"01108","SPRINGFIELD, MA",,"G",2353,"G",15448,"G",64377,262,"SPRINGFIELD","MA","HAMPDEN"
"01109","SPRINGFIELD, MA",,"H",7690,"G",52927,"G",213191,301,"SPRINGFIELD","MA","HAMPDEN"
"01111","SPRINGFIELD, MA","H","D",0,"D",0,"D",0,8,"SPRINGFIELD","MA","HAMPDEN"
"01115","SPRINGFIELD, MA",,"G",909,"G",36283,"G",101999,52,"SPRINGFIELD","MA","HAMPDEN"
"01116","LONGMEADOW, MA","A","D",0,"D",0,"D",0,2,"LONGMEADOW","MA","HAMPDEN"
"01118","SPRINGFIELD, MA",,"G",1538,"G",12004,"G",50078,140,"SPRINGFIELD","MA","HAMPDEN"
"01119","SPRINGFIELD, MA",,"G",3617,"G",22210,"G",93165,147,"SPRINGFIELD","MA","HAMPDEN"
"01128","SPRINGFIELD, MA",,"G",825,"G",3738,"G",14960,48,"SPRINGFIELD","MA","HAMPDEN"
"01129","SPRINGFIELD, MA",,"G",2756,"G",14974,"G",60141,173,"SPRINGFIELD","MA","HAMPDEN"
"01138","SPRINGFIELD, MA",,"G",25,"H",85,"H",734,8,"SPRINGFIELD","MA","HAMPDEN"
"01139","SPRINGFIELD, MA","C","D",0,"D",0,"D",0,3,"SPRINGFIELD","MA","HAMPDEN"
"01144","SPRINGFIELD, MA",,"G",1140,"G",34839,"G",103868,46,"SPRINGFIELD","MA","HAMPDEN"
"01151","INDIAN ORCHARD, MA",,"G",2341,"G",40146,"G",175911,146,"INDIAN ORCHARD","MA","HAMPDEN"
"01199","SPRINGFIELD, MA","I","D",0,"D",0,"D",0,2,"SPRINGFIELD","MA","HAMPDEN"
"01201","PITTSFIELD, MA",,"G",22445,"G",260554,"G",1016676,1299,"PITTSFIELD","MA","BERKSHIRE"
"01202","PITTSFIELD, MA",,"H",688,"H",8581,"H",39414,31,"PITTSFIELD","MA","BERKSHIRE"
"01203","PITTSFIELD, MA","A","D",0,"D",0,"D",0,1,"PITTSFIELD","MA","BERKSHIRE"
"01220","ADAMS, MA",,"G",1685,"G",14026,"G",57876,167,"ADAMS","MA","BERKSHIRE"
"01222","ASHLEY FALLS, MA",,"G",40,"G",270,"G",1293,12,"ASHLEY FALLS","MA","BERKSHIRE"
"01223","BECKET, MA",,"G",267,"G",2000,"G",12239,48,"BECKET","MA","BERKSHIRE"
"01224","BERKSHIRE, MA",,"G",22,"G",175,"G",761,4,"BERKSHIRE","MA","BERKSHIRE"
"01225","CHESHIRE, MA",,"H",365,"H",3054,"H",13507,55,"CHESHIRE","MA","BERKSHIRE"
"01226","DALTON, MA",,"G",1754,"G",22644,"G",82338,124,"DALTON","MA","BERKSHIRE"
"01227","DALTON, MA",,"G",44,"G",328,"G",1932,5,"DALTON","MA","BERKSHIRE"
"01229","GLENDALE, MA","A","S",0,"S",0,"H",785,3,"GLENDALE","MA","BERKSHIRE"
"01230","GREAT BARRINGTON, MA",,"G",5092,"G",39251,"G",168571,423,"GREAT BARRINGTON","MA","BERKSHIRE"
"01235","HINSDALE, MA","C","S",0,"H",1373,"H",7524,46,"HINSDALE","MA","BERKSHIRE"
"01236","HOUSATONIC, MA",,"H",406,"H",3125,"H",13182,36,"HOUSATONIC","MA","BERKSHIRE"
"01237","LANESBORO, MA",,"G",2169,"G",10347,"G",38830,148,"LANESBORO","MA","BERKSHIRE"
"01238","LEE, MA",,"G",3261,"G",23786,"G",99188,294,"LEE","MA","BERKSHIRE"
"01240","LENOX, MA",,"G",3027,"G",21630,"G",96003,249,"LENOX","MA","BERKSHIRE"
"01242","LENOX DALE, MA",,"G",110,"H",737,"G",3133,18,"LENOX DALE","MA","BERKSHIRE"
"01243","MIDDLEFIELD, MA",,"G",32,"G",157,"G",651,5,"MIDDLEFIELD","MA","HAMPSHIRE"
"01244","MILL RIVER, MA","A","D",0,"D",0,"D",0,2,"MILL RIVER","MA","BERKSHIRE"
"01245","MONTEREY, MA","B","D",0,"D",0,"D",0,24,"MONTEREY","MA","BERKSHIRE"
"01247","NORTH ADAMS, MA",,"G",4402,"G",36238,"G",148591,344,"NORTH ADAMS","MA","BERKSHIRE"
"01252","NORTH EGREMONT, MA",,"G",7,"G",31,"G",236,4,"NORTH EGREMONT","MA","BERKSHIRE"
"01253","OTIS, MA",,"H",115,"G",704,"G",2983,29,"OTIS","MA","BERKSHIRE"
"01254","RICHMOND, MA",,"G",71,"G",503,"G",2487,33,"RICHMOND","MA","BERKSHIRE"
"01255","SANDISFIELD, MA","C","S",0,"H",934,"H",3746,22,"SANDISFIELD","MA","BERKSHIRE"
"01256","SAVOY, MA",,"G",17,"G",122,"G",482,6,"SAVOY","MA","BERKSHIRE"
"01257","SHEFFIELD, MA",,"G",929,"H",9580,"H",41832,114,"SHEFFIELD","MA","BERKSHIRE"
"01258","SOUTH EGREMONT, MA",,"H",482,"H",1844,"G",6066,37,"SOUTH EGREMONT","MA","BERKSHIRE"
"01259","SOUTHFIELD, MA","B","S",0,"H",516,"G",2759,25,"SOUTHFIELD","MA","BERKSHIRE"
"01260","SOUTH LEE, MA",,"G",485,"G",8080,"G",28514,15,"SOUTH LEE","MA","BERKSHIRE"
"01262","STOCKBRIDGE, MA",,"H",1382,"G",12076,"H",51643,79,"STOCKBRIDGE","MA","BERKSHIRE"
"01264","TYRINGHAM, MA","A","D",0,"D",0,"D",0,1,"TYRINGHAM","MA","BERKSHIRE"
"01266","WEST STOCKBRIDGE, MA",,"G",171,"G",1102,"G",5663,52,"WEST STOCKBRIDGE","MA","BERKSHIRE"
"01267","WILLIAMSTOWN, MA",,"G",3462,"G",38784,"G",159313,218,"WILLIAMSTOWN","MA","BERKSHIRE"
"01270","WINDSOR, MA",,"G",21,"G",235,"G",1081,8,"WINDSOR","MA","BERKSHIRE"
"01301","GREENFIELD, MA",,"G",7748,"G",61795,"G",258288,570,"GREENFIELD","MA","FRANKLIN"
"01302","GREENFIELD, MA",,"G",475,"G",6488,"G",23432,24,"GREENFIELD","MA","FRANKLIN"
"01330","ASHFIELD, MA",,"G",153,"G",1518,"G",5016,34,"ASHFIELD","MA","FRANKLIN"
"01331","ATHOL, MA",,"H",3174,"H",27176,"H",109366,207,"ATHOL","MA","WORCESTER"
"01337","BERNARDSTON, MA",,"G",393,"G",2547,"G",11731,48,"BERNARDSTON","MA","FRANKLIN"
"01338","BUCKLAND, MA","C","S",0,"H",571,"H",2337,12,"BUCKLAND","MA","FRANKLIN"
"01339","CHARLEMONT, MA",,"H",256,"G",1202,"G",4771,31,"CHARLEMONT","MA","FRANKLIN"
"01340","COLRAIN, MA",,"H",119,"H",844,"H",3646,15,"COLRAIN","MA","FRANKLIN"
"01341","CONWAY, MA","C","S",0,"H",790,"H",3755,27,"CONWAY","MA","FRANKLIN"
"01342","DEERFIELD, MA",,"G",732,"G",7439,"G",30544,28,"DEERFIELD","MA","FRANKLIN"
"01343","DRURY, MA","A","D",0,"D",0,"D",0,1,"DRURY","MA","BERKSHIRE"
"01344","ERVING, MA","C","D",0,"D",0,"D",0,17,"ERVING","MA","FRANKLIN"
"01346","HEATH, MA","A","S",0,"G",46,"G",192,3,"HEATH","MA","FRANKLIN"
"01347","LAKE PLEASANT, MA","A","D",0,"D",0,"D",0,1,"LAKE PLEASANT","MA","FRANKLIN"
"01349","MILLERS FALLS, MA",,"G",19,"G",96,"G",366,8,"MILLERS FALLS","MA","FRANKLIN"
"01350","MONROE BRIDGE, MA","B","D",0,"D",0,"D",0,3,"MONROE BRIDGE","MA","FRANKLIN"
"01351","MONTAGUE, MA",,"G",109,"G",679,"G",3142,29,"MONTAGUE","MA","FRANKLIN"
"01354","GILL, MA",,"G",227,"H",1278,"H",5706,25,"GILL","MA","FRANKLIN"
"01355","NEW SALEM, MA","B","D",0,"D",0,"D",0,17,"NEW SALEM","MA","FRANKLIN"
"01360","NORTHFIELD, MA",,"H",678,"G",8097,"G",29410,47,"NORTHFIELD","MA","FRANKLIN"
"01364","ORANGE, MA",,"G",1292,"G",10035,"G",42726,128,"ORANGE","MA","FRANKLIN"
"01366","PETERSHAM, MA",,"G",74,"G",376,"G",1748,27,"PETERSHAM","MA","WORCESTER"
"01367","ROWE, MA",,"H",128,"H",1617,"H",6099,8,"ROWE","MA","FRANKLIN"
"01368","ROYALSTON, MA","B","S",0,"H",166,"H",639,8,"ROYALSTON","MA","WORCESTER"
"01370","SHELBURNE FALLS, MA",,"G",631,"G",3920,"G",16043,118,"SHELBURNE FALLS","MA","FRANKLIN"
"01373","SOUTH DEERFIELD, MA",,"G",2827,"G",31561,"G",126056,152,"SOUTH DEERFIELD","MA","FRANKLIN"
"01375","SUNDERLAND, MA",,"G",617,"G",4712,"G",24986,53,"SUNDERLAND","MA","FRANKLIN"
"01376","TURNERS FALLS, MA",,"G",1577,"G",14183,"G",60101,103,"TURNERS FALLS","MA","FRANKLIN"
"01378","WARWICK, MA","A","S",0,"S",0,"H",319,4,"WARWICK","MA","FRANKLIN"
"01379","WENDELL, MA",,"G",57,"G",367,"G",1002,9,"WENDELL","MA","FRANKLIN"
"01380","WENDELL DEPOT, MA","A","D",0,"D",0,"D",0,2,"WENDELL DEPOT","MA","FRANKLIN"
"01420","FITCHBURG, MA",,"G",10317,"G",83706,"G",350477,751,"FITCHBURG","MA","WORCESTER"
"01430","ASHBURNHAM, MA",,"G",690,"H",5479,"H",23004,95,"ASHBURNHAM","MA","WORCESTER"
"01431","ASHBY, MA",,"G",140,"G",1159,"G",5401,51,"ASHBY","MA","MIDDLESEX"
"01432","AYER, MA",,"G",4321,"G",50958,"G",210396,234,"AYER","MA","MIDDLESEX"
"01434","DEVENS, MA",,"H",2169,"H",34625,"H",148167,69,"DEVENS","MA","MIDDLESEX"
"01436","BALDWINVILLE, MA","E","D",0,"D",0,"D",0,28,"BALDWINVILLE","MA","WORCESTER"
"01438","EAST TEMPLETON, MA","C","D",0,"D",0,"D",0,22,"EAST TEMPLETON","MA","WORCESTER"
"01440","GARDNER, MA",,"G",6401,"G",52465,"G",221331,411,"GARDNER","MA","WORCESTER"
"01441","WESTMINSTER, MA","F","D",0,"D",0,"D",0,6,"WESTMINSTER","MA","WORCESTER"
"01450","GROTON, MA",,"G",1782,"G",15901,"G",65135,192,"GROTON","MA","MIDDLESEX"
"01451","HARVARD, MA",,"H",701,"G",9389,"G",38129,149,"HARVARD","MA","WORCESTER"
"01452","HUBBARDSTON, MA",,"H",355,"G",2289,"G",9984,52,"HUBBARDSTON","MA","WORCESTER"
"01453","LEOMINSTER, MA",,"G",15262,"G",124784,"G",528159,1109,"LEOMINSTER","MA","WORCESTER"
"01460","LITTLETON, MA",,"G",4990,"G",80053,"G",331301,317,"LITTLETON","MA","MIDDLESEX"
"01462","LUNENBURG, MA",,"H",1793,"G",14030,"G",61595,201,"LUNENBURG","MA","WORCESTER"
"01463","PEPPERELL, MA",,"G",1198,"G",9790,"G",44615,198,"PEPPERELL","MA","MIDDLESEX"
"01464","SHIRLEY, MA",,"G",1224,"H",13307,"H",64433,117,"SHIRLEY","MA","MIDDLESEX"
"01467","STILL RIVER, MA","B","S",0,"G",156,"G",736,9,"STILL RIVER","MA","WORCESTER"
"01468","TEMPLETON, MA",,"G",228,"G",1771,"G",8366,47,"TEMPLETON","MA","WORCESTER"
"01469","TOWNSEND, MA",,"G",1213,"G",9597,"G",39421,122,"TOWNSEND","MA","MIDDLESEX"
"01471","GROTON, MA","E","D",0,"D",0,"D",0,4,"GROTON","MA","MIDDLESEX"
"01472","WEST GROTON, MA",,"G",315,"G",3490,"G",14069,12,"WEST GROTON","MA","MIDDLESEX"
"01473","WESTMINSTER, MA",,"G",1514,"G",22981,"G",82963,151,"WESTMINSTER","MA","WORCESTER"
"01474","WEST TOWNSEND, MA",,"H",229,"H",1425,"H",5578,26,"WEST TOWNSEND","MA","MIDDLESEX"
"01475","WINCHENDON, MA",,"G",1210,"G",7672,"G",31803,146,"WINCHENDON","MA","WORCESTER"
"01477","WINCHENDON SPRINGS, MA","A","D",0,"D",0,"D",0,1,"WINCHENDON SPRINGS","MA","WORCESTER"
"01501","AUBURN, MA",,"G",10367,"G",95106,"G",402836,588,"AUBURN","MA","WORCESTER"
"01503","BERLIN, MA",,"H",349,"G",2811,"G",13367,81,"BERLIN","MA","WORCESTER"
"01504","BLACKSTONE, MA",,"G",685,"G",5441,"G",23384,131,"BLACKSTONE","MA","WORCESTER"
"01505","BOYLSTON, MA",,"G",1344,"G",12674,"G",55295,132,"BOYLSTON","MA","WORCESTER"
"01506","BROOKFIELD, MA",,"H",317,"H",1567,"H",6829,47,"BROOKFIELD","MA","WORCESTER"
"01507","CHARLTON, MA",,"G",2769,"G",29169,"G",124529,221,"CHARLTON","MA","WORCESTER"
"01508","CHARLTON CITY, MA",,"H",380,"G",1440,"G",6487,26,"CHARLTON CITY","MA","WORCESTER"
"01509","CHARLTON DEPOT, MA",,"G",14,"G",155,"G",880,4,"CHARLTON DEPOT","MA","WORCESTER"
"01510","CLINTON, MA",,"G",3589,"G",35126,"G",149084,262,"CLINTON","MA","WORCESTER"
"01515","EAST BROOKFIELD, MA","E","D",0,"D",0,"D",0,43,"EAST BROOKFIELD","MA","WORCESTER"
"01516","DOUGLAS, MA",,"G",673,"G",6265,"G",28879,119,"DOUGLAS","MA","WORCESTER"
"01518","FISKDALE, MA",,"G",438,"G",3640,"G",17252,56,"FISKDALE","MA","WORCESTER"
"01519","GRAFTON, MA","G","D",0,"D",0,"D",0,86,"GRAFTON","MA","WORCESTER"
"01520","HOLDEN, MA",,"G",2727,"G",23623,"G",98933,279,"HOLDEN","MA","WORCESTER"
"01521","HOLLAND, MA",,"G",80,"G",528,"G",2337,24,"HOLLAND","MA","HAMPDEN"
"01522","JEFFERSON, MA",,"G",105,"G",558,"G",2836,28,"JEFFERSON","MA","WORCESTER"
"01523","LANCASTER, MA",,"G",1921,"G",19741,"G",77298,117,"LANCASTER","MA","WORCESTER"
"01524","LEICESTER, MA",,"G",1312,"G",8208,"G",32403,107,"LEICESTER","MA","WORCESTER"
"01525","LINWOOD, MA",,"G",238,"G",2272,"G",9222,20,"LINWOOD","MA","WORCESTER"
"01526","MANCHAUG, MA",,"G",42,"G",357,"G",1618,10,"MANCHAUG","MA","WORCESTER"
"01527","MILLBURY, MA",,"G",4638,"G",35717,"G",152415,291,"MILLBURY","MA","WORCESTER"
"01529","MILLVILLE, MA",,"G",88,"G",530,"G",2270,36,"MILLVILLE","MA","WORCESTER"
"01531","NEW BRAINTREE, MA",,"H",34,"H",142,"G",889,14,"NEW BRAINTREE","MA","WORCESTER"
"01532","NORTHBOROUGH, MA",,"G",7329,"G",77015,"G",314716,478,"NORTHBOROUGH","MA","WORCESTER"
"01534","NORTHBRIDGE, MA",,"G",865,"G",7591,"G",27123,60,"NORTHBRIDGE","MA","WORCESTER"
"01535","NORTH BROOKFIELD, MA",,"G",821,"G",7104,"G",28705,73,"NORTH BROOKFIELD","MA","WORCESTER"
"01536","NORTH GRAFTON, MA",,"H",1752,"H",20597,"H",92979,147,"NORTH GRAFTON","MA","WORCESTER"
"01537","NORTH OXFORD, MA",,"G",763,"G",6944,"G",29171,56,"NORTH OXFORD","MA","WORCESTER"
"01538","NORTH UXBRIDGE, MA","C","D",0,"D",0,"D",0,17,"NORTH UXBRIDGE","MA","WORCESTER"
"01540","OXFORD, MA",,"H",3551,"H",44772,"H",161882,220,"OXFORD","MA","WORCESTER"
"01541","PRINCETON, MA",,"G",841,"G",3838,"G",15673,68,"PRINCETON","MA","WORCESTER"
"01542","ROCHDALE, MA",,"G",483,"G",4973,"G",20540,36,"ROCHDALE","MA","WORCESTER"
"01543","RUTLAND, MA",,"H",771,"H",5980,"H",26762,106,"RUTLAND","MA","WORCESTER"
"01545","SHREWSBURY, MA",,"G",10134,"G",101003,"G",411893,800,"SHREWSBURY","MA","WORCESTER"
"01546","SHREWSBURY, MA","A","D",0,"D",0,"D",0,1,"SHREWSBURY","MA","WORCESTER"
"01550","SOUTHBRIDGE, MA",,"G",5030,"G",48185,"G",192868,342,"SOUTHBRIDGE","MA","WORCESTER"
"01560","SOUTH GRAFTON, MA",,"G",286,"G",2529,"G",11301,60,"SOUTH GRAFTON","MA","WORCESTER"
"01561","SOUTH LANCASTER, MA",,"G",582,"G",5646,"G",21449,30,"SOUTH LANCASTER","MA","WORCESTER"
"01562","SPENCER, MA",,"H",2782,"H",26643,"H",110683,217,"SPENCER","MA","WORCESTER"
"01564","STERLING, MA",,"G",2286,"G",22943,"G",93210,187,"STERLING","MA","WORCESTER"
"01566","STURBRIDGE, MA",,"G",3672,"G",24108,"G",102612,241,"STURBRIDGE","MA","WORCESTER"
"01568","UPTON, MA",,"G",786,"G",5802,"G",25822,151,"UPTON","MA","WORCESTER"
"01569","UXBRIDGE, MA",,"G",3047,"G",27481,"G",124168,259,"UXBRIDGE","MA","WORCESTER"
"01570","WEBSTER, MA",,"G",6194,"H",59685,"H",234050,359,"WEBSTER","MA","WORCESTER"
"01571","DUDLEY, MA",,"G",2276,"G",21444,"G",84841,158,"DUDLEY","MA","WORCESTER"
"01581","WESTBOROUGH, MA",,"G",22458,"G",347440,"G",1364597,925,"WESTBOROUGH","MA","WORCESTER"
"01583","WEST BOYLSTON, MA",,"G",2549,"G",21579,"G",92735,233,"WEST BOYLSTON","MA","WORCESTER"
"01585","WEST BROOKFIELD, MA",,"G",792,"G",6680,"G",28444,87,"WEST BROOKFIELD","MA","WORCESTER"
"01588","WHITINSVILLE, MA",,"G",2923,"G",23552,"G",97098,209,"WHITINSVILLE","MA","WORCESTER"
"01590","SUTTON, MA",,"G",1875,"G",17035,"G",73396,149,"SUTTON","MA","WORCESTER"
"01601","WORCESTER, MA",,"G",196,"G",1879,"G",7578,11,"WORCESTER","MA","WORCESTER"
"01602","WORCESTER, MA",,"G",2608,"G",19594,"G",81360,279,"WORCESTER","MA","WORCESTER"
"01603","WORCESTER, MA",,"G",6097,"G",50912,"G",199909,380,"WORCESTER","MA","WORCESTER"
"01604","WORCESTER, MA",,"H",15877,"H",209322,"H",853497,728,"WORCESTER","MA","WORCESTER"
"01605","WORCESTER, MA",,"G",21075,"G",280604,"G",1129350,566,"WORCESTER","MA","WORCESTER"
"01606","WORCESTER, MA",,"G",10503,"G",126609,"G",495796,433,"WORCESTER","MA","WORCESTER"
"01607","WORCESTER, MA",,"G",2523,"G",23370,"G",92008,132,"WORCESTER","MA","WORCESTER"
"01608","WORCESTER, MA",,"H",9704,"H",142643,"H",577740,513,"WORCESTER","MA","WORCESTER"
"01609","WORCESTER, MA",,"G",8530,"G",78387,"G",332116,520,"WORCESTER","MA","WORCESTER"
"01610","WORCESTER, MA",,"G",9144,"G",72974,"G",298773,346,"WORCESTER","MA","WORCESTER"
